hruid,vaccine_coverage,date_reported,today_date
591,80.44,2022-03-30,2022-03-31
592,79.55,2022-03-30,2022-03-31
593,82.69,2022-03-30,2022-03-31
594,67.78,2022-03-30,2022-03-31
595,88.08,2022-03-30,2022-03-31
2401,85.27,2022-03-29,2022-03-31
2402,85.78,2022-03-29,2022-03-31
2403,85.34,2022-03-29,2022-03-31
2404,81.67,2022-03-29,2022-03-31
2405,82.75,2022-03-29,2022-03-31
2406,79.21,2022-03-29,2022-03-31
2407,81.90,2022-03-29,2022-03-31
2408,82.43,2022-03-29,2022-03-31
2409,82.90,2022-03-29,2022-03-31
2410,76.46,2022-03-29,2022-03-31
2411,90.51,2022-03-29,2022-03-31
2412,82.02,2022-03-29,2022-03-31
2413,80.22,2022-03-29,2022-03-31
2414,83.18,2022-03-29,2022-03-31
2415,83.78,2022-03-29,2022-03-31
2416,85.06,2022-03-29,2022-03-31
2417,61.19,2022-03-29,2022-03-31
2418,86.00,2022-03-29,2022-03-31
3526,81.77,2022-03-30,2022-03-31
3527,78.75,2022-03-30,2022-03-31
3530,82.12,2022-03-30,2022-03-31
3533,75.25,2022-03-30,2022-03-31
3534,75.08,2022-03-30,2022-03-31
3535,80.31,2022-03-30,2022-03-31
3536,83.56,2022-03-30,2022-03-31
3537,79.78,2022-03-30,2022-03-31
3538,78.53,2022-03-30,2022-03-31
3539,77.57,2022-03-30,2022-03-31
3540,77.84,2022-03-30,2022-03-31
3541,85.87,2022-03-30,2022-03-31
3542,76.39,2022-03-30,2022-03-31
3543,87.50,2022-03-30,2022-03-31
3544,83.74,2022-03-30,2022-03-31
3546,80.44,2022-03-30,2022-03-31
3547,79.23,2022-03-30,2022-03-31
3549,85.00,2022-03-30,2022-03-31
3551,84.63,2022-03-30,2022-03-31
3553,80.83,2022-03-30,2022-03-31
3555,81.22,2022-03-30,2022-03-31
3556,79.02,2022-03-30,2022-03-31
3557,76.23,2022-03-30,2022-03-31
3558,79.87,2022-03-30,2022-03-31
3560,79.16,2022-03-30,2022-03-31
3561,81.49,2022-03-30,2022-03-31
3562,81.77,2022-03-30,2022-03-31
3563,78.27,2022-03-30,2022-03-31
3565,81.16,2022-03-30,2022-03-31
3566,81.20,2022-03-30,2022-03-31
3568,80.01,2022-03-30,2022-03-31
3570,81.53,2022-03-30,2022-03-31
3575,76.17,2022-03-30,2022-03-31
3595,82.56,2022-03-30,2022-03-31
4601,85.84,2022-03-29,2022-03-31
4602,76.92,2022-03-29,2022-03-31
4603,77.35,2022-03-29,2022-03-31
4604,75.97,2022-03-29,2022-03-31
4605,63.21,2022-03-29,2022-03-31
4831,70.66,2022-03-23,2022-03-31
4832,79.05,2022-03-23,2022-03-31
4833,65.75,2022-03-23,2022-03-31
4834,77.44,2022-03-23,2022-03-31
4835,66.07,2022-03-23,2022-03-31